Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2026-02-23 12:30,0.00,nan,0.34,0.57,0.00,0.0000,0.0000
2026-02-23 13:00,0.00,nan,0.07,0.57,0.00,0.0000,0.0000
2026-02-23 13:30,0.00,nan,4.26,0.57,1.84,0.0022,0.0026
2026-02-23 14:00,0.00,nan,2.81,0.57,2.94,0.0023,0.0056
2026-02-23 14:30,0.00,nan,3.21,0.57,4.23,0.0067,0.0080
2026-02-23 15:00,0.00,nan,3.77,0.57,5.79,0.0087,0.0139
2026-02-23 15:30,0.00,nan,3.03,0.57,6.98,0.0045,0.0177
2026-02-23 16:00,0.01,nan,4.45,0.57,8.84,0.0256,0.0206
2026-02-23 16:30,0.02,nan,5.03,0.57,10.94,0.0476,0.0247
2026-02-23 17:00,0.02,nan,1.74,0.57,11.49,0.0000,0.0188
2026-02-23 17:30,0.02,nan,2.93,0.57,12.60,0.0077,0.0335
2026-02-23 18:00,0.03,nan,3.44,0.57,13.94,0.0181,0.0369
2026-02-23 18:30,0.03,nan,4.06,0.57,15.55,0.0328,0.0409
2026-02-23 19:00,0.03,nan,2.60,0.57,16.48,0.0026,0.0435
2026-02-23 19:30,0.03,nan,1.90,0.57,17.09,0.0000,0.0317
2026-02-23 20:00,0.04,nan,1.91,0.57,17.69,0.0059,0.0318
2026-02-23 20:30,0.04,nan,1.92,0.57,18.29,0.0065,0.0332
2026-02-23 21:00,0.04,nan,0.64,0.57,18.38,0.0000,0.0072
2026-02-23 21:30,0.04,nan,0.71,0.57,18.52,0.0000,0.0120
2026-02-23 22:00,0.04,nan,2.76,0.57,19.52,0.0171,0.0363
2026-02-23 22:30,0.04,nan,2.80,0.57,20.53,0.0209,0.0386
2026-02-23 23:00,0.04,nan,0.77,0.57,20.68,0.0000,0.0101
2026-02-23 23:30,0.04,nan,0.76,0.57,20.84,0.0000,0.0104
2026-02-24 00:00,0.04,nan,0.00,0.57,20.78,0.0000,0.0000
2026-02-24 00:30,0.04,nan,1.21,0.57,21.06,0.0000,0.0193
2026-02-24 01:00,0.04,nan,1.28,0.57,21.38,0.0000,0.0233
2026-02-24 01:30,0.05,nan,3.39,0.57,22.62,0.0314,0.0611
2026-02-24 02:00,0.06,nan,3.45,0.57,23.88,0.0359,0.0646
2026-02-24 02:30,0.06,nan,2.25,0.57,24.61,0.0034,0.0573
2026-02-24 03:00,0.07,nan,3.45,0.57,25.86,0.0401,0.0701
2026-02-24 03:30,0.08,nan,3.57,0.57,27.14,0.0461,0.0736
2026-02-24 04:00,0.08,nan,1.15,0.57,27.39,0.0000,0.0220
2026-02-24 04:30,0.08,nan,1.10,0.57,27.62,0.0000,0.0205
2026-02-24 05:00,0.09,nan,1.74,0.57,28.11,0.0064,0.0452
2026-02-24 05:30,0.09,nan,1.49,0.57,28.50,0.0000,0.0415
2026-02-24 06:00,0.09,nan,1.38,0.57,28.84,0.0000,0.0373
2026-02-24 06:30,0.09,nan,1.12,0.57,29.12,0.0000,0.0354
2026-02-24 07:00,0.09,nan,0.66,0.57,29.21,0.0000,0.0140
2026-02-24 07:30,0.09,nan,0.57,0.57,29.25,0.0000,0.0060
2026-02-24 08:00,0.09,nan,1.53,0.57,29.65,0.0004,0.0403
2026-02-24 08:30,0.09,nan,1.51,0.57,30.05,0.0002,0.0408
2026-02-24 09:00,0.09,nan,2.36,0.57,30.80,0.0102,0.0702
2026-02-24 09:30,0.09,nan,2.40,0.57,31.56,0.0117,0.0723
2026-02-24 10:00,0.09,nan,0.99,0.57,31.74,0.0000,0.0196
2026-02-24 10:30,0.09,nan,0.97,0.57,31.90,0.0000,0.0188
2026-02-24 11:00,0.09,nan,0.83,0.57,32.01,0.0000,0.0121
2026-02-24 11:30,0.09,nan,0.82,0.57,32.12,0.0000,0.0119
