Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2022-07-27 12:02,6.37,nan,0.00,0.44,30.43,0.0000,0.0000
2022-07-27 12:04,6.33,nan,0.00,0.44,30.43,0.0000,0.0000
2022-07-27 12:06,6.29,nan,0.00,0.44,30.43,0.0000,0.0000
2022-07-27 12:08,6.25,nan,0.00,0.44,30.42,0.0000,0.0000
2022-07-27 12:10,6.21,0.54,0.00,0.44,30.42,0.0000,0.0000
2022-07-27 12:12,6.17,nan,0.00,0.44,30.42,0.0000,0.0000
2022-07-27 12:14,6.14,nan,0.00,0.44,30.42,0.0000,0.0000
2022-07-27 12:16,6.10,nan,0.00,0.44,30.41,0.0000,0.0000
2022-07-27 12:18,6.06,nan,0.00,0.44,30.41,0.0000,0.0000
2022-07-27 12:20,6.02,0.54,0.00,0.44,30.41,0.0000,0.0000
2022-07-27 12:22,5.99,nan,0.00,0.44,30.41,0.0000,0.0000
2022-07-27 12:24,5.95,nan,0.00,0.44,30.40,0.0000,0.0000
2022-07-27 12:26,5.92,nan,0.00,0.44,30.40,0.0000,0.0000
2022-07-27 12:28,5.88,nan,0.00,0.44,30.40,0.0000,0.0000
2022-07-27 12:30,5.85,0.54,0.00,0.44,30.40,0.0000,0.0000
2022-07-27 12:32,5.81,nan,0.00,0.44,30.39,0.0000,0.0000
2022-07-27 12:34,5.78,nan,0.00,0.44,30.39,0.0000,0.0000
2022-07-27 12:36,5.75,nan,0.00,0.44,30.39,0.0000,0.0000
2022-07-27 12:38,5.71,nan,0.00,0.44,30.39,0.0000,0.0000
2022-07-27 12:40,5.68,0.54,0.00,0.44,30.38,0.0000,0.0000
2022-07-27 12:42,5.65,nan,0.00,0.44,30.38,0.0000,0.0000
2022-07-27 12:44,5.61,nan,0.00,0.44,30.38,0.0000,0.0000
2022-07-27 12:46,5.58,nan,0.00,0.44,30.38,0.0000,0.0000
2022-07-27 12:48,5.55,nan,0.00,0.44,30.37,0.0000,0.0000
2022-07-27 12:50,5.52,0.54,0.00,0.44,30.37,0.0000,0.0000
2022-07-27 12:52,5.49,nan,0.00,0.44,30.37,0.0000,0.0000
2022-07-27 12:54,5.46,nan,0.00,0.44,30.37,0.0000,0.0000
2022-07-27 12:56,5.42,nan,0.00,0.44,30.36,0.0000,0.0000
2022-07-27 12:58,5.39,nan,0.00,0.44,30.36,0.0000,0.0000
2022-07-27 13:00,5.36,0.54,0.00,0.44,30.36,0.0000,0.0000
2022-07-27 13:02,5.33,nan,0.00,0.44,30.36,0.0000,0.0000
2022-07-27 13:04,5.30,nan,0.00,0.44,30.36,0.0000,0.0000
2022-07-27 13:06,5.27,nan,0.00,0.44,30.35,0.0000,0.0000
2022-07-27 13:08,5.24,nan,0.00,0.44,30.35,0.0000,0.0000
2022-07-27 13:10,5.22,0.54,0.00,0.44,30.35,0.0000,0.0000
2022-07-27 13:12,5.19,nan,0.00,0.44,30.35,0.0000,0.0000
2022-07-27 13:14,5.16,nan,0.00,0.44,30.34,0.0000,0.0000
2022-07-27 13:16,5.13,nan,0.00,0.44,30.34,0.0000,0.0000
2022-07-27 13:18,5.10,nan,0.00,0.44,30.34,0.0000,0.0000
2022-07-27 13:20,5.07,0.54,0.00,0.44,30.34,0.0000,0.0000
2022-07-27 13:22,5.04,nan,0.00,0.44,30.33,0.0000,0.0000
2022-07-27 13:24,5.02,nan,0.00,0.44,30.33,0.0000,0.0000
2022-07-27 13:26,4.99,nan,0.00,0.44,30.33,0.0000,0.0000
2022-07-27 13:28,4.96,nan,0.00,0.44,30.33,0.0000,0.0000
2022-07-27 13:30,4.94,0.52,0.00,0.44,30.32,0.0000,0.0000
2022-07-27 13:32,4.91,nan,0.00,0.44,30.32,0.0000,0.0000
2022-07-27 13:34,4.88,nan,0.00,0.44,30.32,0.0000,0.0000
2022-07-27 13:36,4.86,nan,0.00,0.44,30.32,0.0000,0.0000
2022-07-27 13:38,4.83,nan,0.00,0.44,30.31,0.0000,0.0000
2022-07-27 13:40,4.80,0.52,0.00,0.44,30.31,0.0000,0.0000
2022-07-27 13:42,4.78,nan,0.00,0.44,30.31,0.0000,0.0000
2022-07-27 13:44,4.75,nan,0.00,0.44,30.31,0.0000,0.0000
2022-07-27 13:46,4.73,nan,0.00,0.44,30.30,0.0000,0.0000
2022-07-27 13:48,4.70,nan,0.00,0.44,30.30,0.0000,0.0000
2022-07-27 13:50,4.68,0.54,0.00,0.44,30.30,0.0000,0.0000
2022-07-27 13:52,4.65,nan,0.00,0.44,30.30,0.0000,0.0000
2022-07-27 13:54,4.63,nan,0.00,0.44,30.30,0.0000,0.0000
2022-07-27 13:56,4.60,nan,0.00,0.44,30.29,0.0000,0.0000
2022-07-27 13:58,4.58,nan,0.00,0.44,30.29,0.0000,0.0000
2022-07-27 14:00,4.56,0.54,0.00,0.44,30.29,0.0000,0.0000
2022-07-27 14:02,4.53,nan,0.00,0.44,30.29,0.0000,0.0000
2022-07-27 14:04,4.51,nan,0.00,0.44,30.28,0.0000,0.0000
2022-07-27 14:06,4.49,nan,0.00,0.44,30.28,0.0000,0.0000
2022-07-27 14:08,4.46,nan,0.00,0.44,30.28,0.0000,0.0000
2022-07-27 14:10,4.44,0.52,0.00,0.44,30.28,0.0000,0.0000
2022-07-27 14:12,4.42,nan,0.00,0.44,30.27,0.0000,0.0000
2022-07-27 14:14,4.39,nan,0.00,0.44,30.27,0.0000,0.0000
2022-07-27 14:16,4.37,nan,0.00,0.44,30.27,0.0000,0.0000
